Real time,Event,Pulses,CountRate(CPM),Duration of d.a.,Duration of meas.,Dose rate,DR Error,Dose,Dose rate alarm,Dose alarm,Temp alarm,Temp.,Charge,Comment
,,,,,,,,,,,,,,
ROM Basement,,,,,,,,,,,,,,
ROM Floor 1,,,,,,,,,,,,,,
ROM Floor 2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2024.03.13  16.20.10,Current data values,241,452,,0:00:32,11 µR/h,42.70%,,None,None,None,,,
2024.03.13  16.19.55,Current data values,243,456,,0:00:32,12.8 µR/h,42.70%,,None,None,None,,,
2024.03.13  16.18.42,Current data values,502,342,,0:01:28,7.96 µR/h,31.40%,,None,None,None,,,
2024.03.13  16.17.09,Current data values,567,354,,0:01:36,9.57 µR/h,29.10%,,None,None,None,,,
2024.03.13  16.15.33,Current data values,648,405,,0:01:36,12.2 µR/h,25.10%,,None,None,None,,,
2024.03.13  16.13.44,Current data values,705,352,,0:02:00,12.2 µR/h,24%,,None,None,None,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2024.03.13  16.11.08,Current data values,797,598,,0:01:20,16.3 µR/h,22.20%,,None,None,None,,,
2024.03.13  16.09.40,Current data values,958,599,,0:01:36,14.3 µR/h,20.70%,,None,None,None,,,
2024.03.13  16.08.03,Current data values,1037,648,,0:01:36,16.8 µR/h,19.40%,,None,None,None,,,
2024.03.13  16.06.27,Current data values,1187,742,,0:01:36,17.2 µR/h,19.50%,,None,None,None,,,
2024.03.13  16.04.50,Current data values,1182,739,,0:01:36,18.4 µR/h,17.60%,,None,None,None,,,
2024.03.13  16.03.14,Current data values,1217,761,,0:01:36,17.1 µR/h,19.10%,,None,None,None,,,
2024.03.13  16.01.37,Current data values,1238,774,,0:01:36,18.1 µR/h,18%,,None,None,None,,,
2024.03.13  16.00.01,Current data values,1222,764,,0:01:36,17.5 µR/h,17.40%,,None,None,None,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2024.03.13  15.58.25,Current data values,1240,775,,0:01:36,18.4 µR/h,19.50%,,None,None,None,,,
2024.03.13  15.56.48,Current data values,1162,726,,0:01:36,19.1 µR/h,18%,,None,None,None,,,
2024.03.13  15.55.12,Current data values,859,537,,0:01:36,13.5 µR/h,21%,,None,None,None,,,
2024.03.13  15.53.36,Current data values,749,468,,0:01:36,11.3 µR/h,23.10%,,None,None,None,,,
2024.03.13  15.51.59,Current data values,897,561,,0:01:36,15.1 µR/h,21%,,None,None,None,,,
2024.03.13  15.50.23,Current data values,960,600,,0:01:36,16.6 µR/h,20.10%,,None,None,None,,,
2024.03.13  15.48.47,Current data values,1045,653,,0:01:36,15.9 µR/h,19.10%,,None,None,None,,,
2024.03.13  15.47.10,Current data values,1023,639,,0:01:36,16 µR/h,18.80%,,None,None,None,,,
2024.03.13  15.46.22,Current data values,1091,682,,0:01:36,20.3 µR/h,18.80%,,None,None,None,,,
2024.03.13  15.42.37,Current data values,1262,789,,0:01:36,16.6 µR/h,18.30%,,None,None,None,,,
2024.03.13  15.41.01,Current data values,1342,839,,0:01:36,21.1 µR/h,16.70%,,None,None,None,,,
2024.03.13  15.39.25,Current data values,1241,776,,0:01:36,18.2 µR/h,17.40%,,None,None,None,,,
2024.03.13  15.38.37,Current data values,1220,762,,0:01:36,20.9 µR/h,17.40%,,None,None,None,,,
2024.03.13  15.35.09,Current data values,1431,894,,0:01:36,25 µR/h,16.30%,,None,None,None,,,
2024.03.13  15.34.21,Current data values,1346,841,,0:01:36,19.7 µR/h,16.30%,,None,None,None,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2024.03.13  16.19.52,Current data values,14,210,,0:00:04,5.86 µR/h,99%,,None,None,None,,,
2024.03.13  16.19.48,Current data values,48,720,,0:00:04,19.9 µR/h,66.10%,,None,None,None,,,
2024.03.13  16.19.47,Current data values,46,690,,0:00:04,20.1 µR/h,66.10%,,None,None,None,,,
2024.03.13  16.19.45,Current data values,264,990,,0:00:16,17.9 µR/h,30.30%,,None,None,None,,,
2024.03.13  16.19.31,Current data values,320,1.2k ,,0:00:16,39 µR/h,30.30%,,None,None,None,,,
2024.03.13  16.19.28,Current data values,36,540,,0:00:04,14.1 µR/h,99%,,None,None,None,,,
2024.03.13  16.19.27,Current data values,34,510,,0:00:04,16.1 µR/h,99%,,None,None,None,,,
2024.03.13  16.19.25,Current data values,557,380,,0:01:28,13 µR/h,31.40%,,None,None,None,,,
,,,,,,,,,,,,,,
2024.03.13  16.12.46,Current data values,781,390,,0:02:00,16 µR/h,24%,,None,None,None,,,
2024.03.13  16.12.36,Current data values,267,1k ,,0:00:16,24.1 µR/h,37.20%,,None,None,None,,,
2024.03.13  16.12.30,Current data values,282,1.06k ,,0:00:16,18.5 µR/h,37.20%,,None,None,None,,,
2024.03.13  16.12.26,Current data values,267,668,,0:00:24,22.2 µR/h,37.70%,,None,None,None,,,
2024.03.13  16.12.16,Current data values,233,582,,0:00:24,18.4 µR/h,37.70%,,None,None,None,,,
2024.03.13  16.11.56,Current data values,240,900,,0:00:16,25.2 µR/h,39.50%,,None,None,None,,,
2024.03.13  16.11.50,Current data values,220,825,,0:00:16,19 µR/h,39.50%,,None,None,None,,,
2024.03.13  16.11.46,Current data values,815,611,,0:01:20,16.4 µR/h,22.20%,,None,None,None,,,
